date,area,temperature,wind_speed,humidity,local_atmospheric_pressure
2022-12-04 11:59:12,9403.18,14.53,1.07,16.62054,9.15
2022-10-28 13:53:03,4913.35,11.04,6.08,13.85183,31.278
2022-07-03 19:20:36,4764.07,8.94,5.7,26.03876,6.532
2022-06-16 13:50:57,9203.81,16.47,2.2,14.10025,26.484
2022-04-10 11:56:30,5081.46,0.48,5.22,29.09903,12.644
2022-09-05 11:27:42,8425.07,31.06,6.62,5.3294,7.786
2022-11-02 22:47:19,6494.47,14.9,2.03,14.3287,31.764
2022-12-19 20:49:21,9236.32,6.54,6.7,9.71662,15.146
2022-10-05 04:33:41,6243.67,13.57,7.66,18.42532,14.82
2023-03-03 18:31:08,8138.56,13.85,5.33,2.99301,29.86
2022-06-09 13:55:19,8551.63,3.41,7.97,27.02905,4.431
2022-11-16 18:57:19,2665.11,0.18,3.97,12.89926,8.42
2022-08-20 15:38:52,3925.39,4.75,6.48,26.26994,16.435
2022-07-07 03:14:38,7624.84,2.75,4.62,1.3232,15.774
2022-11-29 09:12:25,9558.99,16.19,7.88,6.33826,4.69
2023-02-21 04:25:47,2227.82,22.47,4.41,23.19393,29.144
2022-05-30 09:30:56,9181.55,0.04,6.75,7.01888,31.115
2022-09-01 12:21:17,3389.77,14.15,9.8,12.57082,29.648
2022-06-29 04:59:49,5840.42,9.23,3.22,0.57441,20.498
2022-07-23 00:47:07,9074.44,1.76,4.3,11.20487,23.121
2022-07-13 03:01:46,6657.11,1.86,8.91,6.1665,13.088
2022-06-03 12:13:12,4533.33,12.81,8.01,6.62786,26.863
2022-08-07 07:51:55,3144.84,9.51,4.41,27.39331,7.348
2022-10-15 23:13:50,6969.22,30.14,1.51,5.70905,14.521
2023-02-06 07:32:25,3957.74,27.8,2.49,14.38876,20.119
2022-03-28 13:12:53,1444.45,21.87,7.84,27.05559,15.917
2022-12-09 09:10:00,2973.54,17.87,8.81,27.33107,22.685
2022-06-04 23:54:04,2955.09,5.2,8.59,14.41227,23.949
2023-03-06 19:42:41,4263.77,10.68,8.7,1.05386,14.21
2022-10-30 07:41:54,4212.07,6.81,2.82,27.22901,27.98
2022-05-16 16:29:29,8058.24,3.15,2.04,6.60411,17.034
2022-09-06 05:26:29,7852.47,26.55,1.33,13.33065,30.272
2022-09-15 13:42:30,3040.0,22.55,7.83,22.46265,11.918
2022-09-27 08:01:32,1307.67,17.05,3.19,3.55757,17.799
2022-12-13 14:37:17,8258.92,24.48,6.52,28.65878,1.843
2022-08-02 01:50:54,8419.83,0.0,8.33,22.89244,26.666
2023-01-24 05:04:02,4297.25,3.03,9.06,19.35972,22.201
2023-03-09 05:54:53,4260.97,3.43,6.54,4.06578,20.838
2022-10-26 22:44:57,6566.52,31.07,3.63,3.48649,14.043
2022-12-24 17:28:18,7684.26,1.12,2.36,10.69268,21.511
